<oov> 1.0	<oov>
PEMBUAT 1.0	P E M B U A T
PEMEGANG 1.0	P E M E G A NG
PEMERINTAH 1.0	P E M E R I N T A H
PEMERINTAHAN 1.0	P E M E R I N T A H A N
PEMETAAN 1.0	P E M EE T A A N
PEMIHAKAN 1.0	P E M I H A K A N
PEMIKIRAN 1.0	P E M I K I R A N
PEMILU 1.0	P E M I L U
PEMIMPIN 1.0	P E M I M P I N
PEMOHON 1.0	P E M O H O N
PENADBIRAN 1.0	P E N A D B I R A N
PENAHANAN 1.0	P E N A H A N A N
PENALTI 1.0	P EE N A L T I
PENAMPUNGAN 1.0	P E N A M P U NG A N
PENANDATANGANAN 1.0	P E N A N D A T A NG A N A N
PENANGGUHAN 1.0	P E N A NG G U H A N
PENANGKAPAN 1.0	P E N A NG K A P A N
PENASIHAT 1.0	P E N A S I H A T
PENCAIRAN 1.0	P E N C A I R A N
PENCAPAIAN 1.0	P E N C A P A I A N
PENCARIAN 1.0	P E N C A R I A N
PENDAPAT 1.0	P E N D A P A T
PENDIRI 1.0	P E N D I R I
PENELITI 1.0	P E N E L I T I
PENELITIAN 1.0	P E N E L I T I A N
PENEMBAKAN 1.0	P E N EE M B A K A N
PENERBITAN 1.0	P E N E R B I T A N
PENERIMAAN 1.0	P E N E R I M A A N
PENETAPAN 1.0	P E N E T A P A N
PENGADILAN 1.0	P E NG A D I L A N
PENGAKUAN 1.0	P E NG A K U A N
PENGALAMAN 1.0	P E NG A L A M A N
PENGEMUDI 1.0	P E NG E M U D I
PENGGANTI 1.0	P E NG G A N T I
PENGHIBUR 1.0	P E NG H I B U R
PENGHINAAN 1.0	P E NG H I N A A N
PENGUASA 1.0	P E NG U A S A
PENGUNGSI 1.0	P E NG U NG S I
PENIPU 1.0	P E N I P U
PENIPUAN 1.0	P E N I P U A N
PENJAHAT 1.0	P E N J A H A T
PENJARA 1.0	P E N J A R A
PENJELAJAH 1.0	P E N J E L A J A H
PENOBATAN 1.0	P E N O B A T A N
PENUH 1.0	P E N U H
PENUMPANG 1.0	P E N U M P A NG
PENYAKIT 1.0	P E NY A K I T
PENYALAHGUNAAN 1.0	P E NY A L A H G U N A A N
PENYANYI 1.0	P E NY A NY I
PENYEBAB 1.0	P E NY E B A B
PENYEGAR 1.0	P E NY E G A R
PENYELENGGARA 1.0	P E NY E L E NG G A R A
PENYERANG 1.0	P E NY E R A NG
PENYIDIK 1.0	P E NY I D I K
PERAMPOKAN 1.0	P E R A M P O K A N
PERANAN 1.0	P E R A N A N
PERATURAN 1.0	P E R A T U R A N
PERAWATAN 1.0	P E R A W A T A N
PERBANDINGAN 1.0	P E R B A N D I NG A N
PERBANKAN 1.0	P E R B A N K A N
PERBATASAN 1.0	P E R B A T A S A N
PERDAGANGAN 1.0	P E R D A G A NG A N
PERDANA 1.0	P E R D A N A
PEREKONOMIAN 1.0	P E R EE K O N O M I A N
PEREMPUAN 1.0	P E R E M P U A N
PERIH 1.0	P E R I H
PERILAKU 1.0	P E R I L A K U
PERINGATAN 1.0	P E R I NG A T A N
PERINGKAT 1.0	P E R I NG K A T
PERJALANAN 1.0	P E R J A L A N A N
PERJANJIAN 1.0	P E R J A N J I A N
PERJUANGAN 1.0	P E R J U A NG A N
PERJUANGKAN 1.0	P E R J U A NG K A N
PERLINDUNGAN 1.0	P E R L I N D U NG A N
PERLU 1.0	P E R L U
PERMASALAHAN 1.0	P E R M A S A L A H A N
PERMOHONAN 1.0	P E R M O H O N A N
PERNAH 1.0	P E R N A H
PERNYATAAN 1.0	P E R NY A T A A N
PERPUSTAKAAN 1.0	P E R P U S T A K A A N
PERS 1.0	P EE R S
PERSEN 1.0	P E R S EE N
PERSETUJUAN 1.0	P E R S E T U J U A N
PERSIDANGAN 1.0	P E R S I D A NG A N
PERSOALAN 1.0	P E R S O A L A N
PERSONEL 1.0	P E R S O N EE L
PERTAHANAN 1.0	P E R T A H A N A N
PERTAMA 1.0	P E R T A M A
PERTAMINA 1.0	P E R T A M I N A
PERTANDINGAN 1.0	P E R T A N D I NG A N
PERTANIAN 1.0	P E R T A N I A N
PERTEMUAN 1.0	P E R T E M U A N
PERTENGKARAN 1.0	P E R T E NG K A R A N
PERUBAHAN 1.0	P E R U B A H A N
PERUSAHAAN 1.0	P E R U S A H A A N
PERVEZ 1.0	P EE R V EE Z
PERWIRA 1.0	P E R W I R A
PES 1.0	P EE S
PESANTREN 1.0	P E S A N T R EE N
PESAWAT 1.0	P E S A W A T
PESERTA 1.0	P E S E R T A
PETANI 1.0	P E T A N I
PETENIS 1.0	P E T EE N I S
PETIR 1.0	P E T I R
PETUGAS 1.0	P E T U G A S
PEUKAN 1.0	P E U K A N
PFAFF 1.0	P F A F F
PHAO 1.0	P A O
PHILIP 1.0	P I L I P
PIALA 1.0	P I A L A
PIDANA 1.0	P I D A N A
PIHAK 1.0	P I H A K
PIHAKNYA 1.0	P I H A K NY A
PIMPINAN 1.0	P I M P I N A N
PINJAMAN 1.0	P I N J A M A N
PLAZA 1.0	P L A Z A
PLUS 1.0	P L U S
PNS 1.0	P EE EE N EE S
POHON 1.0	P O H O N
POL 1.0	P O L
POLIS 1.0	P O L I S
POLISI 1.0	P O L I S I
POLITIK 1.0	P O L I T I K
POLRES 1.0	P O L R EE S
POLRI 1.0	P O L R I
PONDOK 1.0	P O N D O K
POPULER 1.0	P O P U L EE R
PORTABEL 1.0	P O R T A B E L
PORTUGAL 1.0	P O R T U G A L
POS 1.0	P O S
POTRET 1.0	P O T R EE T
PRAKTIK 1.0	P R A K T I K
PRAMUKA 1.0	P R A M U K A
PRAPERADILAN 1.0	P R A P E R A D I L A N
PRAVDA 1.0	P R A V D A
PRESIDEN 1.0	P R EE S I D EE N
PRESS 1.0	P R EE S
PRODUK 1.0	P R O D U K
PROF 1.0	P R O F
PROFESIONAL 1.0	P R O F EE S I O N A L
PROGRAM 1.0	P R O G R A M
PROSES 1.0	P R O S EE S
PROVINSI 1.0	P R O V I N S I
PROYEK 1.0	P R O Y EE K
PT 1.0	P EE T EE
PUASANYA 1.0	P U A S A NY A
PUBLIK 1.0	P U B L I K
PUKUL 1.0	P U K U L
PULA 1.0	P U L A
PULANG 1.0	P U L A NG
PULUH 1.0	P U L U H
PUN 1.0	P U N
PUNCAK 1.0	P U N C A K
PUSAT 1.0	P U S A T
PUTIN 1.0	P U T I N
PUTRA 1.0	P U T R A
QOLBU 1.0	K O L B U
QUAID 1.0	K U A I D
QURAN 1.0	K U R A N
R 1.0	EE R
RABU 1.0	R A B U
RADAR 1.0	R A D A R
RADEK 1.0	R A D EE K
RADIN 1.0	R A D I N
RAEHANA 1.0	R A EE H A N A
RAI 1.0	R A I
RAJA 1.0	R A J A
RAJGHAT 1.0	R A J G A T
RAKA 1.0	R A K A
RAKITAN 1.0	R A K I T A N
RAKSASA 1.0	R A K S A S A
RAKYAT 1.0	R A K Y A T
RAMADHAN 1.0	R A M A D A N
RAMAI 1.0	R A M AI
RAMLI 1.0	R A M L I
RANGKAIAN 1.0	R A NG K A I A N
RAPAT 1.0	R A P A T
RAPATNYA 1.0	R A P A T NY A
RASA 1.0	R A S A
RASANYA 1.0	R A S A NY A
RATU 1.0	R A T U
RATUS 1.0	R A T U S
RAWDA 1.0	R A W D A
RAY 1.0	R AI
RAYA 1.0	R A Y A
RDX 1.0	EE R D EE EE K S
REAKSI 1.0	R EE A K S I
REBOISASI 1.0	R EE B O I S A S I
REDFORD 1.0	R EE D F O R D
REFERENDUM 1.0	R EE F E R EE N D U M
REFERENSI 1.0	R EE F E R EE N S I
REFORMASI 1.0	R EE F O R M A S I
REJOSO 1.0	R E J O S O
REKAYASA 1.0	R EE K A Y A S A
REKTOR 1.0	R EE K T O R
RELATIF 1.0	R EE L A T I F
REMBRANDT 1.0	R EE M B R A N T
RENALDY 1.0	R EE N A L D I
RENCANA 1.0	R E N C A N A
RENOVASI 1.0	R EE N O V A S I
REPKA 1.0	R EE P K A
REPUBLIK 1.0	R EE P U B L I K
RESERSE 1.0	R EE S EE R S E
RESMI 1.0	R E S M I
REVOLUSI 1.0	R EE V O L U S I
RHOMA 1.0	R O M A
RI 1.0	EE R I
RIBU 1.0	R I B U
RIBUNYA 1.0	R I B U NY A
RIEFQI 1.0	R I F K I
RIUH 1.0	R I U H
RIWAYAT 1.0	R I W A Y A T
RIYADH 1.0	R I Y A D
RIZAL 1.0	R I Z A L
ROBERT 1.0	R O B E R T
ROBERTSON 1.0	R O B E R T S O N
RODA 1.0	R O D A
RODHI 1.0	R O D I
ROKY 1.0	R O K I
ROMA 1.0	R O M A
ROMBONGAN 1.0	R O M B O NG A N
ROMLI 1.0	R O M L I
RON 1.0	R O N
RONGGOWARSITO 1.0	R O NG G O W A R S I T O
RORING 1.0	R O R I NG
ROWLING 1.0	R O W L I NG
ROYFANI 1.0	R OI F A N I
RSCM 1.0	EE R EE S C EE EE M
RSPP 1.0	EE R EE S P EE P EE
RUANG 1.0	R U A NG
RUANGAN 1.0	R U A NG A N
RUKO 1.0	R U K O
RULLY 1.0	R U L I
RUMAH 1.0	R U M A H
RUMSFELD 1.0	R U M S F EE L D
RUNTUWENE 1.0	R U N T U W EE N EE
RUPIAH 1.0	R U P I A H
RUSDOIHARDJO 1.0	R U S D O I H A R J O
RUSIA 1.0	R U S I A
RUUD 1.0	EE R U U D EE
RYACUDU 1.0	R Y A C U D U
RYAMIZARD 1.0	R Y A M I Z A R D
SA 1.0	EE S A
SAAT 1.0	S A A T
SABTU 1.0	S A B T U
SADAR 1.0	S A D A R
SAFNIL 1.0	S A F N I L
SAHAM 1.0	S A H A M
SAID 1.0	S A I D
SAIFULLOH 1.0	S A I F U L L O H
SAKIT 1.0	S A K I T
SAKSI 1.0	S A K S I
SALAH 1.0	S A L A H
SALINAN 1.0	S A L I N A N
SAMA 1.0	S A M A
SAMBIL 1.0	S A M B I L
SAMPAI 1.0	S A M P AI
SAMUDRA 1.0	S A M U D R A
SANA 1.0	S A N A
SANCHEZ 1.0	S A N C EE Z
SANDRA 1.0	S A N D R A
SANGAT 1.0	S A NG A T
SANXINGDUI 1.0	S A N S I NG D U I
SARAH 1.0	S A R A H
SARANG 1.0	S A R A NG
SARAPAN 1.0	S A R A P A N
SATGAS 1.0	S A T G A S
SATPAM 1.0	S A T P A M
SATU 1.0	S A T U
SATUNYA 1.0	S A T U NY A
SAUDI 1.0	S A U D I
SAWIT 1.0	S A W I T
SAXON 1.0	S A K S O N
SAYA 1.0	S A Y A
SCTV 1.0	EE S C EE T EE V EE
SEBAB 1.0	S E B A B
SEBAGAI 1.0	S E B A G AI
SEBAGAINYA 1.0	S E B A G AI NY A
SEBAIKNYA 1.0	S E B A I K NY A
SEBANDING 1.0	S E B A N D I NG
SEBELUM 1.0	S E B E L U M
SEBELUMNYA 1.0	S E B E L U M NY A
SEBUAH 1.0	S E B U A H
SEBULAN 1.0	S E B U L A N
SECARA 1.0	S E C A R A
SECHAN 1.0	S EE C A N
SEDANG 1.0	S E D A NG
SEDANGKAN 1.0	S E D A NG K A N
SEDIKITNYA 1.0	S E D I K I T NY A
SEGERA 1.0	S E G E R A
SEHARUSNYA 1.0	S E H A R U S NY A
SEHINGGA 1.0	S E H I NG G A
SEJAK 1.0	S E J A K
SEJUMLAH 1.0	S E J U M L A H
SEKALI 1.0	S E K A L I
SEKARANG 1.0	S E K A R A NG
SEKITAR 1.0	S E K I T A R
SEKITARNYA 1.0	S E K I T A R NY A
SEKJEN 1.0	S EE K J EE N
SEKOLAH 1.0	S E K O L A H
SEKRETARIS 1.0	S E K R E T A R I S
SEKSI 1.0	S EE K S I
SEL 1.0	S EE L
SELAIN 1.0	S E L A I N
SELALU 1.0	S E L A L U
SELAMA 1.0	S E L A M A
SELAMAT 1.0	S E L A M A T
SELASA 1.0	S E L A S A
SELATAN 1.0	S E L A T A N
SELURUH 1.0	S E L U R U H
SEMARANG 1.0	S E M A R A NG
SEMBILAN 1.0	S E M B I L A N
SEMBUH 1.0	S E M B U H
SEMENTARA 1.0	S E M E N T A R A
SEMINAR 1.0	S E M I N A R
SEMINARI 1.0	S E M I N A R I
SEMOGA 1.0	S E M O G A
SEMPAT 1.0	S E M P A T
SEMPURNA 1.0	S E M P U R N A
SEMUA 1.0	S E M U A
SEMULA 1.0	S E M U L A
SENADA 1.0	S E N A D A
SENDIRI 1.0	S E N D I R I
SENIN 1.0	S E N I N
SENJATA 1.0	S E N J A T A
SEORANG 1.0	S E O R A NG
SEPAK 1.0	S EE P A K
SEPAKAT 1.0	S E P A K A T
SEPASANG 1.0	S E P A S A NG
SEPERTI 1.0	S E P E R T I
SEPTEMBER 1.0	S EE P T EE M B E R
SEPULUH 1.0	S E P U L U H
SERANGAN 1.0	S E R A NG A N
SERANGKAIAN 1.0	S E R A NG K A I A N
SERATUS 1.0	S E R A T U S
SERIATOPORA 1.0	S E R I A T O P O R A
SERIBU 1.0	S E R I B U
SERIKAT 1.0	S E R I K A T
SERING 1.0	S E R I NG
SERTA 1.0	S E R T A
SESAAT 1.0	S E S A A T
SESAMA 1.0	S E S A M A
SESUAI 1.0	S E S U A I
SESUDAH 1.0	S E S U D A H
SET 1.0	S EE T
SETAHUN 1.0	S E T A H U N
SETARAF 1.0	S E T A R A F
SETELAH 1.0	S E T E L A H
SETEMPAT 1.0	S E T E M P A T
SETIAP 1.0	S E T I A P
SETUJU 1.0	S E T U J U
SEXY 1.0	S EE K S I
SHALAT 1.0	S A L A T
SHEVCHENKO 1.0	SY EE V C EE N K O
SHI 1.0	SY I
SHOW 1.0	SY O W
SHOWBIZ 1.0	SY O W B I Z
SI 1.0	S I
SIA 1.0	S I A
SIANG 1.0	S I A NG
SIAP 1.0	S I A P
SIAPA 1.0	S I A P A
SIDANG 1.0	S I D A NG
SIDI 1.0	S I D I
SIDO 1.0	S I D O
SIHOTANG 1.0	S I H O T A NG
SIKAP 1.0	S I K A P
SIMALUNGUN 1.0	S I M A L U NG U N
SIMMONDS 1.0	S I M O N D S
SIMPANG 1.0	S I M P A NG
SINER 1.0	S I N EE R
SINGKAT 1.0	S I NG K A T
SINGKATAN 1.0	S I NG K A T A N
SISI 1.0	S I S I
SISTEM 1.0	S I S T E M
SITEPU 1.0	S I T E P U
SITOHANG 1.0	S I T O H A NG
SITU 1.0	S I T U
SITUASI 1.0	S I T U A S I
SIYASAH 1.0	S I Y A S A H
SJ 1.0	EE S J EE
SKYLITE 1.0	S K I L I T E
SMA 1.0	EE S EE M A
SOCIETY 1.0	S O C I EE T I
SOEHARTO 1.0	S U H A R T O
SOFJAN 1.0	S O F J A N
SOFWAN 1.0	S O F W A N
SOFYAN 1.0	S O F Y A N
SOLO 1.0	S O L O
SOLOWIEJCZYK 1.0	S O L O W I EE J Z I K
SOLSKJAER 1.0	S O L S K J A EE R
SOPHIE 1.0	S O P H I
SOSOK 1.0	S O S O K
SOUNDING 1.0	S O U N D I NG
SPANYOL 1.0	S P A NY O L
SQUARE 1.0	S K U A R E
SRICEK 1.0	S R I C EE K
STAF 1.0	S T A F
STAFNYA 1.0	S T A F NY A
STASIUN 1.0	S T A S I U N
STATUS 1.0	S T A T U S
STUDI 1.0	S T U D I
SUADMODJO 1.0	S U A D M O J O
SUAMINYA 1.0	S U A M I NY A
SUASANA 1.0	S U A S A N A
SUBJECT 1.0	S U B J EE C T
SUBUH 1.0	S U B U H
SUBUR 1.0	S U B U R
SUBVERSIF 1.0	S U B V EE R S I F
SUDAH 1.0	S U D A H
SUDIARTA 1.0	S U D I A R T A
SUDIRMAN 1.0	S U D I R M A N
SUGIARTO 1.0	S U G I A R T O
SUHU 1.0	S U H U
SUJANA 1.0	S U J A N A
SUKAESIH 1.0	S U K A EE S I H
SUKARNOISASI 1.0	S U K A R N O I S A S I
SULAIMAN 1.0	S U L A I M A N
SULIT 1.0	S U L I T
SULSEL 1.0	S U L S E L
SULTAN 1.0	S U L T A N
SUMANTRI 1.0	S U M A N T R I
SUMATRA 1.0	S U M A T R A
SUMAYYA 1.0	S U M A Y Y A
SUMBER 1.0	S U M B E R
SUNDULAN 1.0	S U N D U L A N
SUNNAH 1.0	S U N A H
SUPAYA 1.0	S U P A Y A
SUPOLO 1.0	S U P O L O
SUPRAPTO 1.0	S U P R A P T O
SURABAYA 1.0	S U R A B A Y A
SURAT 1.0	S U R A T
SUTA 1.0	S U T A
SUWARTOYO 1.0	S U W A R T O Y O
SVEN 1.0	S V EE N
SWEDIA 1.0	S W EE D I A
SYAHBANA 1.0	SY A H B A N A
SYAHIDAH 1.0	SY A H I D A H
SYAHMARDAN 1.0	SY A H M A R D A N
SYAMSUDDIN 1.0	SY A M S U D I N
SYARIEF 1.0	SY A R I EE F
SYLVIA 1.0	S I L V I A
TABRAKAN 1.0	T A B R A K A N
TADI 1.0	T A D I
TAFSIR 1.0	T A F S I R
TAFSIRAN 1.0	T A F S I R A N
TAHUN 1.0	T A H U N
TAK 1.0	T A K
TAKSI 1.0	T A K S I
TAKZIM 1.0	T A K Z I M
TALIBAN 1.0	T A L I B A N
TAMAN 1.0	T A M A N
TAMARA 1.0	T A M A R A
TAMBAH 1.0	T A M B A H
TAMPIL 1.0	T A M P I L
TAMPUBOLON 1.0	T A M P U B O L O N
TAMU 1.0	T A M U
TAN 1.0	T A N
TANAH 1.0	T A N A H
TANAMAN 1.0	T A N A M A N
TANDFIDZIYAH 1.0	T A N D F I D Z I Y A H
TANG 1.0	T A NG
TANGANNYA 1.0	T A NG A N NY A
TANPA 1.0	T A N P A
TAOLU 1.0	T A O L U
TAQWA 1.0	T A K W A
TARGET 1.0	T A R G EE T
TARU 1.0	T A R U
TAS 1.0	T A S
TATA 1.0	T A T A
TATHAWWU 1.0	T A T A W W U
TAUFIK 1.0	T A U F I K
TAYANGAN 1.0	T A Y A NG A N
TAZUL 1.0	T A Z U L
TE 1.0	T EE
TEATER 1.0	T EE A T E R
TEBAL 1.0	T E B A L
TEGAS 1.0	T E G A S
TEGUH 1.0	T E G U H
TEHNIS 1.0	T EE H N I S
TEHVUST 1.0	T EE H V U S T
TEKANAN 1.0	T E K A N A N
TEKNIS 1.0	T EE K N I S
TELAH 1.0	T E L A H
TELEPON 1.0	T EE L EE P O N
TELEVISI 1.0	T EE L EE V I S I
TELEVISION 1.0	T EE L EE V I S I O N
TELKOM 1.0	T EE L K O M
TEMAN 1.0	T E M A N
TEMPAT 1.0	T E M P A T
TEMPO 1.0	T EE M P O
TEMPUR 1.0	T E M P U R
TENAU 1.0	T E N AU
TENDANGAN 1.0	T E N D A NG A N
TENGAH 1.0	T E NG A H
TENTANG 1.0	T E N T A NG
TENTARA 1.0	T E N T A R A
TENTU 1.0	T E N T U
TEPAT 1.0	T E P A T
TERANG 1.0	T E R A NG
TERBAIK 1.0	T E R B A I K
TERBANG 1.0	T E R B A NG
TERBENTUK 1.0	T E R B E N T U K
TERBUKTI 1.0	T E R B U K T I
TERDAKWA 1.0	T E R D A K W A
TERDAPAT 1.0	T E R D A P A T
TERDETEKSI 1.0	T E R D EE T EE K S I
TERGANTUNG 1.0	T E R G A N T U NG
TERGUNCANG 1.0	T E R G U N C A NG
TERHADAP 1.0	T E R H A D A P
TERITORI 1.0	T EE R I T O R I
TERJADI 1.0	T E R J A D I
TERJADINYA 1.0	T E R J A D I NY A
TERJAWAB 1.0	T E R J A W A B
TERKEMUKA 1.0	T E R K E M U K A
TERKENAL 1.0	T E R K E N A L
TERLALU 1.0	T E R L A L U
TERLAMBAT 1.0	T E R L A M B A T
TERLARANG 1.0	T E R L A R A NG
TERLETAK 1.0	T E R L E T A K
TERLIHAT 1.0	T E R L I H A T
TERMASUK 1.0	T E R M A S U K
TERMINAL 1.0	T E R M I N A L
TERNYATA 1.0	T E R NY A T A
TEROMPET 1.0	T E R O M P EE T
TERORIS 1.0	T EE R O R I S
TERORISME 1.0	T EE R O R I S M E
TEROWONGAN 1.0	T E R O W O NG A N
TERPELIHARA 1.0	T E R P E L I H A R A
TERPISAH 1.0	T E R P I S A H
TERSAMBAR 1.0	T E R S A M B A R
TERSANGKA 1.0	T E R S A NG K A
TERSEBUT 1.0	T E R S E B U T
TERSEDIA 1.0	T E R S E D I A
TERTANGKAP 1.0	T E R T A NG K A P
TERTINGGI 1.0	T E R T I NG G I
TERUNGKAP 1.0	T E R U NG K A P
TERUS 1.0	T E R U S
TETAP 1.0	T E T A P
TETAPI 1.0	T E T A P I
TEWAS 1.0	T EE W A S
TEXMACO 1.0	T E K S M A C O
THAILAND 1.0	T AI L A N
THREE 1.0	T R EE EE
TIAP 1.0	T I A P
TIBA 1.0	T I B A
TIDAK 1.0	T I D A K
TIGA 1.0	T I G A
TIKET 1.0	T I K EE T
TIM 1.0	T I M
TIME 1.0	T I M E
TIMNYA 1.0	T I M NY A
TIMOR 1.0	T I M O R
TIMUR 1.0	T I M U R
TINDAK 1.0	T I N D A K
TINDAKAN 1.0	T I N D A K A N
TINGGI 1.0	T I NG G I
TINGKAT 1.0	T I NG K A T
TINJU 1.0	T I N J U
TNI 1.0	T EE EE N I
TO 1.0	T EE O
TOGO 1.0	T O G O
TOILET 1.0	T O I L EE T
TOKOH 1.0	T O K O H
TOMAS 1.0	T O M A S
TOMMY 1.0	T O M I
TONI 1.0	T O N I
TOPENG 1.0	T O P EE NG
TOPI 1.0	T O P I
TOR 1.0	T O R
TOSARI 1.0	T O S A R I
TOYOTA 1.0	T O Y O T A
TRAFALGAR 1.0	T R A F A L G A R
TRAGEDI 1.0	T R A G EE D I
TRANSAKSI 1.0	T R A N S A K S I
TRANSGENIK 1.0	T R A N S G EE N I K
TRANSIT 1.0	T R A N S I T
TRIWULAN 1.0	T R I W U L A N
TROPIS 1.0	T R O P I S
TUA 1.0	T U A
TUANYA 1.0	T U A NY A
TUBUH 1.0	T U B U H
TUDJMAN 1.0	T U D J M A N
TUGBOT 1.0	T U G B O T
TUJUH 1.0	T U J U H
TUNGGAL 1.0	T U NG G A L
TURIS 1.0	T U R I S
TURUT 1.0	T U R U T
TYX 1.0	T I K S
UA 1.0	U A
UDARA 1.0	U D A R A
UGM 1.0	U G EE EE M
UJAR 1.0	U J A R
UJIANNYA 1.0	U J I A N NY A
UMAR 1.0	U M A R
UMUM 1.0	U M U M
UNDANG 1.0	U N D A NG
UNGGULAN 1.0	U NG G U L A N
UNHCR 1.0	U EE N H A C EE EE R
UNIT 1.0	U N I T
UNITED 1.0	U N I T E D
UNIVERSITAS 1.0	U N I V E R S I T A S
UNJUK 1.0	U N J U K
UNSUR 1.0	U N S U R
UNTUK 1.0	U N T U K
UPJA 1.0	U P J A
URI 1.0	U R I
URUSAN 1.0	U R U S A N
USAHA 1.0	U S A H A
USAI 1.0	U S AI
USMANUDDIN 1.0	U S M A N U D I N
USS 1.0	U EE S EE S
USTADZ 1.0	U S T A D
UTAMA 1.0	U T A M A
UTANG 1.0	U T A NG
UTARA 1.0	U T A R A
UTUSAN 1.0	U T U S A N
UU 1.0	U U
VAJPAYE 1.0	V A J P A Y EE
VALAS 1.0	V A L A S
VALENCIA 1.0	V A L EE N C I A
VALINDO 1.0	V A L I N D O
VAN 1.0	V A N
VAZQUEZ 1.0	V A Z K U EE Z
VELASCO 1.0	V EE L A S C O
VENEZUELA 1.0	V EE N EE Z U EE L A
VERBAL 1.0	V E R B A L
VERSI 1.0	V EE R S I
VI 1.0	V EE I
VICARIO 1.0	V I C A R I O
VIDAKOVIC 1.0	V I D A K O V I C
VIDEO 1.0	V I D I O
VILLA 1.0	V I L A
VITAL 1.0	V I T A L
VJ 1.0	V EE J EE
VLADIMIR 1.0	V L A D I M I R
VMI 1.0	V EE EE M I
VOKALNYA 1.0	V O K A L NY A
VRIENS 1.0	V R I EE N S
VULKANOLOGI 1.0	V U L K A N O L O G I
VVIP 1.0	V EE V EE I P EE
WABAH 1.0	W A B A H
WAHID 1.0	W A H I D
WAHYU 1.0	W A H Y U
WAJDI 1.0	W A J D I
WAJIB 1.0	W A J I B
WAKAPOLRI 1.0	W A K A P O L R I
WAKTU 1.0	W A K T U
WALJHI 1.0	W A L J I
WANA 1.0	W A N A
WANDERERS 1.0	W A N D E R E R S
WANITA 1.0	W A N I T A
WAPIMCAB 1.0	W A P I M C A B
WAPRES 1.0	W A P R EE S
WARGA 1.0	W A R G A
WARTAWAN 1.0	W A R T A W A N
WARTEL 1.0	W A R T EE L
WARUNG 1.0	W A R U NG
WASIT 1.0	W A S I T
WASPADA 1.0	W A S P A D A
WEA 1.0	W EE A
WEBSITE 1.0	W EE B S I T E
WHITE 1.0	W I T E
WIJAYA 1.0	W I J A Y A
WILAYAH 1.0	W I L A Y A H
WILLIAM 1.0	W I L I A M
WILSON 1.0	W I L S O N
WINTER 1.0	W I N T E R
WONG 1.0	W O NG
WREDA 1.0	W R E D A
WURUK 1.0	W U R U K
WUSHU 1.0	W U SY U
WWW 1.0	W EE W EE W EE
WYNNE 1.0	W I N EE
XANANA 1.0	S A N A N A
YA 1.0	Y A
YAITU 1.0	Y A I T U
YANG 1.0	Y A NG
YAPPIKA 1.0	Y A P P I K A
YE 1.0	Y EE
YEVGENY 1.0	Y EE V G EE N I
YEVHEN 1.0	Y EE V H EE N
YOGYAKARTA 1.0	Y O G Y A K A R T A
YONIF 1.0	Y O N I F
YUGOSLAVIA 1.0	Y U G O S L A V I A
YUNI 1.0	Y U N I
YUNIWATI 1.0	Y U N I W A T I
YUSA 1.0	Y U S A
YUSRIL 1.0	Y U S R I L
YUSUF 1.0	Y U S U F
ZAENUDDIN 1.0	Z A EE N U D D I N
ZAENUDIN 1.0	Z A EE N U D I N
ZAHOVIC 1.0	Z A H O V I C
ZAINAL 1.0	Z A I N A L
ZAMAN 1.0	Z A M A N
ZARKASIH 1.0	Z A R K A S I H
ZERO 1.0	Z EE R O
ZHENG 1.0	Z EE NG
ZIMBABWE 1.0	Z I M B A B W EE
ZIVKOVIC 1.0	Z I V K O V I C
ZLATKO 1.0	Z L A T K O
ZNET 1.0	Z EE T N EE T
ZOETMULDER 1.0	Z O EE T M U L D E R
ZOHRA 1.0	Z O H R A
ZORAN 1.0	Z O R A N
ZUHUR 1.0	Z U H U R
ZVAI 1.0	Z V AI
ZX 1.0	Z EE T EE K S
ZYGNUS 1.0	Z I G N U S
